request_id,zone,breakdown_type,mechanic_id,proximity_km,specialization,spec_match,star_rating,available,jobs_completed,best_mechanic_selected
1,Rubaga,Electrical Fault,MECH_1_1,2.61,Electrical Specialist,1,4.2,1,126,1
1,Rubaga,Electrical Fault,MECH_1_2,0.74,Electrical Specialist,1,4.7,0,42,0
1,Rubaga,Electrical Fault,MECH_1_3,11.91,Electrical Specialist,1,4.2,0,240,0
1,Rubaga,Electrical Fault,MECH_1_4,6.53,Brakes Specialist,0,3.1,1,192,0
1,Rubaga,Electrical Fault,MECH_1_5,5.74,Electrical Specialist,1,3.4,1,59,0
2,Kawempe,Engine Stalled,MECH_2_1,1.25,Electrical Specialist,0,4.9,1,246,0
2,Kawempe,Engine Stalled,MECH_2_2,0.68,Engine Specialist,1,3.5,0,192,0
2,Kawempe,Engine Stalled,MECH_2_3,6.19,Engine Specialist,1,4.8,1,168,1
2,Kawempe,Engine Stalled,MECH_2_4,2.89,Brakes Specialist,0,3.1,1,150,0
2,Kawempe,Engine Stalled,MECH_2_5,11.3,Electrical Specialist,0,4.2,1,52,0
3,Kawempe,Electrical Fault,MECH_3_1,3.62,Electrical Specialist,1,3.7,1,192,1
3,Kawempe,Electrical Fault,MECH_3_2,2.12,Electrical Specialist,1,3.1,1,75,0
3,Kawempe,Electrical Fault,MECH_3_3,0.66,Tyre & Suspension,0,4.4,1,167,0
3,Kawempe,Electrical Fault,MECH_3_4,1.35,Brakes Specialist,0,3.2,1,139,0
3,Kawempe,Electrical Fault,MECH_3_5,4.76,Electrical Specialist,1,4.3,1,176,0
4,Makindye,Brakes Failing,MECH_4_1,5.93,Engine Specialist,0,4.4,1,5,0
4,Makindye,Brakes Failing,MECH_4_2,0.96,Transmission Specialist,0,3.2,0,128,0
4,Makindye,Brakes Failing,MECH_4_3,0.86,Brakes Specialist,1,3.6,1,100,0
4,Makindye,Brakes Failing,MECH_4_4,2.1,Brakes Specialist,1,4.1,1,33,1
4,Makindye,Brakes Failing,MECH_4_5,2.35,Electrical Specialist,0,4.6,0,189,0
5,Rubaga,Transmission Issue,MECH_5_1,3.01,Brakes Specialist,0,4.8,1,132,0
5,Rubaga,Transmission Issue,MECH_5_2,10.81,Brakes Specialist,0,3.2,1,125,0
5,Rubaga,Transmission Issue,MECH_5_3,6.64,Transmission Specialist,1,4.4,1,238,0
5,Rubaga,Transmission Issue,MECH_5_4,11.34,Brakes Specialist,0,4.0,1,237,0
5,Rubaga,Transmission Issue,MECH_5_5,3.34,Transmission Specialist,1,4.4,1,105,1
6,Kampala Central,Brakes Failing,MECH_6_1,7.51,Brakes Specialist,1,3.1,1,233,0
6,Kampala Central,Brakes Failing,MECH_6_2,6.61,Brakes Specialist,1,4.1,0,72,0
6,Kampala Central,Brakes Failing,MECH_6_3,4.75,Tyre & Suspension,0,4.6,1,73,0
6,Kampala Central,Brakes Failing,MECH_6_4,7.79,Brakes Specialist,1,3.2,1,101,1
6,Kampala Central,Brakes Failing,MECH_6_5,10.37,Brakes Specialist,1,3.4,1,94,0
7,Makindye,Transmission Issue,MECH_7_1,7.92,Tyre & Suspension,0,4.4,1,132,0
7,Makindye,Transmission Issue,MECH_7_2,8.95,Tyre & Suspension,0,4.1,1,46,0
7,Makindye,Transmission Issue,MECH_7_3,8.09,Transmission Specialist,1,4.1,1,64,1
7,Makindye,Transmission Issue,MECH_7_4,2.67,Tyre & Suspension,0,4.4,1,212,0
7,Makindye,Transmission Issue,MECH_7_5,10.7,Transmission Specialist,1,4.3,1,79,0
8,Makindye,Engine Stalled,MECH_8_1,8.13,Engine Specialist,1,3.3,1,86,1
8,Makindye,Engine Stalled,MECH_8_2,5.66,Electrical Specialist,0,3.4,1,72,0
8,Makindye,Engine Stalled,MECH_8_3,7.97,Transmission Specialist,0,4.3,1,37,0
8,Makindye,Engine Stalled,MECH_8_4,6.35,Brakes Specialist,0,3.5,1,162,0
8,Makindye,Engine Stalled,MECH_8_5,7.76,Transmission Specialist,0,4.0,1,32,0
9,Kampala Central,Electrical Fault,MECH_9_1,3.15,Transmission Specialist,0,4.1,1,196,0
9,Kampala Central,Electrical Fault,MECH_9_2,11.62,Electrical Specialist,1,4.7,1,195,1
9,Kampala Central,Electrical Fault,MECH_9_3,2.7,Tyre & Suspension,0,4.0,1,22,0
9,Kampala Central,Electrical Fault,MECH_9_4,7.06,Engine Specialist,0,4.2,1,90,0
9,Kampala Central,Electrical Fault,MECH_9_5,3.42,Tyre & Suspension,0,3.6,1,108,0
10,Kawempe,Flat Tyre,MECH_10_1,9.81,Transmission Specialist,0,4.7,0,17,0
10,Kawempe,Flat Tyre,MECH_10_2,0.56,Brakes Specialist,0,3.4,1,12,0
10,Kawempe,Flat Tyre,MECH_10_3,9.65,Electrical Specialist,0,3.7,1,96,0
10,Kawempe,Flat Tyre,MECH_10_4,4.27,Tyre & Suspension,1,5.0,1,154,1
10,Kawempe,Flat Tyre,MECH_10_5,0.85,Engine Specialist,0,4.6,1,58,0
11,Rubaga,Transmission Issue,MECH_11_1,11.6,Transmission Specialist,1,4.7,1,228,0
11,Rubaga,Transmission Issue,MECH_11_2,6.72,Transmission Specialist,1,4.5,1,17,1
11,Rubaga,Transmission Issue,MECH_11_3,9.06,Tyre & Suspension,0,3.4,1,66,0
11,Rubaga,Transmission Issue,MECH_11_4,8.5,Brakes Specialist,0,3.3,1,5,0
11,Rubaga,Transmission Issue,MECH_11_5,2.6,Electrical Specialist,0,4.3,1,193,0
12,Kawempe,Electrical Fault,MECH_12_1,5.33,Tyre & Suspension,0,3.7,0,233,0
12,Kawempe,Electrical Fault,MECH_12_2,4.43,Engine Specialist,0,3.2,1,98,0
12,Kawempe,Electrical Fault,MECH_12_3,1.63,Transmission Specialist,0,3.9,1,37,0
12,Kawempe,Electrical Fault,MECH_12_4,7.97,Engine Specialist,0,4.9,0,104,0
12,Kawempe,Electrical Fault,MECH_12_5,4.81,Electrical Specialist,1,4.0,1,5,1
13,Nakawa,Engine Stalled,MECH_13_1,10.47,Brakes Specialist,0,4.6,1,144,0
13,Nakawa,Engine Stalled,MECH_13_2,7.9,Tyre & Suspension,0,4.1,1,105,0
13,Nakawa,Engine Stalled,MECH_13_3,2.88,Engine Specialist,1,3.4,0,50,0
13,Nakawa,Engine Stalled,MECH_13_4,1.59,Brakes Specialist,0,3.1,1,12,1
13,Nakawa,Engine Stalled,MECH_13_5,8.34,Engine Specialist,1,3.5,0,139,0
14,Kawempe,Flat Tyre,MECH_14_1,7.73,Electrical Specialist,0,4.5,1,25,0
14,Kawempe,Flat Tyre,MECH_14_2,7.04,Brakes Specialist,0,4.5,1,40,0
14,Kawempe,Flat Tyre,MECH_14_3,9.43,Tyre & Suspension,1,4.9,1,41,0
14,Kawempe,Flat Tyre,MECH_14_4,3.24,Tyre & Suspension,1,4.1,1,88,1
14,Kawempe,Flat Tyre,MECH_14_5,4.18,Electrical Specialist,0,3.8,1,144,0
15,Rubaga,Transmission Issue,MECH_15_1,7.09,Transmission Specialist,1,3.9,1,103,0
15,Rubaga,Transmission Issue,MECH_15_2,6.87,Tyre & Suspension,0,4.9,1,148,0
15,Rubaga,Transmission Issue,MECH_15_3,1.16,Transmission Specialist,1,3.9,1,219,1
15,Rubaga,Transmission Issue,MECH_15_4,8.62,Electrical Specialist,0,4.4,1,190,0
15,Rubaga,Transmission Issue,MECH_15_5,9.95,Transmission Specialist,1,3.2,1,169,0
16,Kawempe,Engine Stalled,MECH_16_1,10.62,Engine Specialist,1,4.8,1,49,0
16,Kawempe,Engine Stalled,MECH_16_2,9.44,Brakes Specialist,0,3.8,1,94,0
16,Kawempe,Engine Stalled,MECH_16_3,5.5,Engine Specialist,1,3.8,0,130,0
16,Kawempe,Engine Stalled,MECH_16_4,1.87,Engine Specialist,1,4.3,1,5,1
16,Kawempe,Engine Stalled,MECH_16_5,5.99,Engine Specialist,1,4.1,1,121,0
17,Rubaga,Electrical Fault,MECH_17_1,11.65,Engine Specialist,0,4.8,1,122,0
17,Rubaga,Electrical Fault,MECH_17_2,8.5,Engine Specialist,0,3.3,1,53,0
17,Rubaga,Electrical Fault,MECH_17_3,5.73,Electrical Specialist,1,4.2,1,148,1
17,Rubaga,Electrical Fault,MECH_17_4,1.73,Brakes Specialist,0,3.3,1,168,0
17,Rubaga,Electrical Fault,MECH_17_5,4.56,Transmission Specialist,0,3.2,1,45,0
18,Kampala Central,Engine Stalled,MECH_18_1,5.23,Brakes Specialist,0,3.5,1,145,0
18,Kampala Central,Engine Stalled,MECH_18_2,9.96,Electrical Specialist,0,4.5,1,51,0
18,Kampala Central,Engine Stalled,MECH_18_3,5.23,Transmission Specialist,0,4.0,1,243,0
18,Kampala Central,Engine Stalled,MECH_18_4,7.33,Engine Specialist,1,4.9,1,31,1
18,Kampala Central,Engine Stalled,MECH_18_5,6.64,Transmission Specialist,0,4.8,1,27,0
19,Kawempe,Flat Tyre,MECH_19_1,10.27,Tyre & Suspension,1,3.9,1,114,0
19,Kawempe,Flat Tyre,MECH_19_2,10.6,Transmission Specialist,0,3.1,0,99,0
19,Kawempe,Flat Tyre,MECH_19_3,8.22,Tyre & Suspension,1,4.5,1,127,1
19,Kawempe,Flat Tyre,MECH_19_4,9.89,Electrical Specialist,0,3.2,1,61,0
19,Kawempe,Flat Tyre,MECH_19_5,9.52,Brakes Specialist,0,4.6,0,107,0
20,Rubaga,Flat Tyre,MECH_20_1,4.53,Brakes Specialist,0,3.8,0,95,0
20,Rubaga,Flat Tyre,MECH_20_2,8.85,Tyre & Suspension,1,3.9,1,83,0
20,Rubaga,Flat Tyre,MECH_20_3,7.65,Electrical Specialist,0,4.9,1,136,0
20,Rubaga,Flat Tyre,MECH_20_4,1.26,Engine Specialist,0,4.2,1,198,1
20,Rubaga,Flat Tyre,MECH_20_5,7.78,Tyre & Suspension,1,3.2,0,155,0
21,Makindye,Transmission Issue,MECH_21_1,2.59,Brakes Specialist,0,4.8,1,199,0
21,Makindye,Transmission Issue,MECH_21_2,3.07,Transmission Specialist,1,3.7,1,174,1
21,Makindye,Transmission Issue,MECH_21_3,1.52,Engine Specialist,0,3.9,1,94,0
21,Makindye,Transmission Issue,MECH_21_4,4.2,Engine Specialist,0,4.0,0,218,0
21,Makindye,Transmission Issue,MECH_21_5,10.55,Electrical Specialist,0,3.1,1,30,0
22,Kampala Central,Brakes Failing,MECH_22_1,2.62,Tyre & Suspension,0,3.7,1,218,1
22,Kampala Central,Brakes Failing,MECH_22_2,8.79,Engine Specialist,0,3.3,1,119,0
22,Kampala Central,Brakes Failing,MECH_22_3,10.79,Brakes Specialist,1,4.1,1,241,0
22,Kampala Central,Brakes Failing,MECH_22_4,1.71,Transmission Specialist,0,3.4,1,43,0
22,Kampala Central,Brakes Failing,MECH_22_5,2.93,Brakes Specialist,1,3.2,1,149,0
23,Kampala Central,Electrical Fault,MECH_23_1,6.02,Transmission Specialist,0,4.5,1,115,1
23,Kampala Central,Electrical Fault,MECH_23_2,5.46,Engine Specialist,0,3.6,1,10,0
23,Kampala Central,Electrical Fault,MECH_23_3,6.23,Brakes Specialist,0,4.9,0,185,0
23,Kampala Central,Electrical Fault,MECH_23_4,2.26,Tyre & Suspension,0,3.3,0,79,0
23,Kampala Central,Electrical Fault,MECH_23_5,9.77,Engine Specialist,0,4.7,1,135,0
24,Kawempe,Transmission Issue,MECH_24_1,11.97,Electrical Specialist,0,4.2,1,79,0
24,Kawempe,Transmission Issue,MECH_24_2,2.47,Transmission Specialist,1,4.9,1,83,1
